state,district,year,season,crop,area_ha,production_t,yield_t_ha
Andhra Pradesh,KURNOOL,2002,Rabi,Rice,10974.0,24856.0,2.265
Andhra Pradesh,KURNOOL,2003,Kharif,Rice,34618.0,100635.0,2.907
Andhra Pradesh,KURNOOL,2003,Rabi,Rice,4966.0,11377.0,2.291
Andhra Pradesh,KURNOOL,2004,Kharif,Rice,61465.0,210702.0,3.428
Andhra Pradesh,KURNOOL,2004,Rabi,Rice,12058.0,37549.0,3.114
Andhra Pradesh,KURNOOL,2005,Kharif,Rice,88555.0,292586.0,3.304
Andhra Pradesh,KURNOOL,2005,Rabi,Rice,20079.0,65980.0,3.286
Andhra Pradesh,KURNOOL,2006,Kharif,Rice,80692.0,270238.0,3.349
Andhra Pradesh,KURNOOL,2006,Rabi,Rice,12475.0,36764.0,2.947
Andhra Pradesh,KURNOOL,2007,Kharif,Rice,90000.0,332000.0,3.6889
Andhra Pradesh,KURNOOL,2007,Rabi,Rice,19000.0,51000.0,2.6842
Andhra Pradesh,KURNOOL,2008,Kharif,Rice,84066.0,279856.0,3.329
Andhra Pradesh,KURNOOL,2008,Rabi,Rice,27383.0,97073.0,3.545
Andhra Pradesh,KURNOOL,2009,Kharif,Rice,81908.0,256454.0,3.131
Andhra Pradesh,KURNOOL,2009,Rabi,Rice,44772.0,157911.0,3.527
Andhra Pradesh,KURNOOL,2010,Kharif,Rice,104110.0,291475.0,2.7997
Andhra Pradesh,KURNOOL,2010,Rabi,Rice,32967.0,105626.0,3.204
Andhra Pradesh,KURNOOL,2011,Kharif,Rice,91984.0,333882.0,3.6298
Andhra Pradesh,KURNOOL,2011,Rabi,Rice,14738.0,46042.0,3.124
Andhra Pradesh,KURNOOL,2012,Kharif,Rice,72625.0,276774.0,3.811
Andhra Pradesh,KURNOOL,2012,Rabi,Rice,16840.0,60102.0,3.569
Andhra Pradesh,KURNOOL,2013,Kharif,Rice,92596.0,340383.0,3.676
Andhra Pradesh,KURNOOL,2013,Rabi,Rice,32298.0,118017.0,3.654
Andhra Pradesh,KURNOOL,2014,Kharif,Rice,91569.0,361514.0,3.948
Andhra Pradesh,KURNOOL,2014,Rabi,Rice,23329.0,82748.0,3.547
Andhra Pradesh,KURNOOL,2014,Whole Year,Rice,114898.0,444262.0,3.8666
Andhra Pradesh,PRAKASAM,1997,Kharif,Rice,62000.0,124300.0,2.0048
Andhra Pradesh,PRAKASAM,1997,Rabi,Rice,74200.0,222100.0,2.9933
Andhra Pradesh,PRAKASAM,1998,Kharif,Rice,72100.0,206700.0,2.8669
Andhra Pradesh,PRAKASAM,1998,Rabi,Rice,73800.0,248900.0,3.3726
Andhra Pradesh,PRAKASAM,1999,Kharif,Rice,70189.0,190583.0,2.7153
Andhra Pradesh,PRAKASAM,1999,Rabi,Rice,54885.0,129541.0,2.3602
Andhra Pradesh,PRAKASAM,2000,Kharif,Rice,50601.0,156559.0,3.094
Andhra Pradesh,PRAKASAM,2000,Rabi,Rice,96893.0,316840.0,3.27
Andhra Pradesh,PRAKASAM,2001,Kharif,Rice,40841.0,134204.0,3.286
Andhra Pradesh,PRAKASAM,2001,Rabi,Rice,106540.0,385888.0,3.622
Andhra Pradesh,PRAKASAM,2002,Kharif,Rice,19256.0,46927.0,2.437
Andhra Pradesh,PRAKASAM,2002,Rabi,Rice,46223.0,104325.0,2.257
